MTS793|MPT|NLD|1|2|,|-|:|31|1|1|A

Data Acquisition						Time:	104,29639	s	11-3-2021 09:52:22
Time	311.51 Frame Force	311.51 Frame Displacement	Aux Input 8	Aux Input 9	Aux Input 7	Laser 50mm	Laser 50mm2	Laser 25mm
s	kN	mm	V	V	V	mm	mm	mm
19,460938	-0,69285291	-1,281684	0,19873652	0,20310067	0,98361152	1,2445874	1,2744567	3,073786
19,558105	-0,67112243	-1,2846298	0,20209356	0,20343637	0,98495436	1,2656108	1,2765633	3,0779824
19,655273	-0,75485498	-1,2876333	0,20209356	0,20276497	0,98361152	1,2656108	1,2723502	3,073786
19,752441	-0,76252812	-1,2897199	0,20276497	0,20343637	0,9846186	1,2698156	1,2765633	3,0769331
19,849609	-0,66684663	-1,2946849	0,20209356	0,2064577	0,98529005	1,2656108	1,2955221	3,0790315
19,946777	-0,6934768	-1,2982683	0,20209356	0,2057863	0,9815973	1,2656108	1,2913091	3,0674915
20,043945	-0,78730816	-1,3002781	0,20175786	0,20612201	0,98428291	1,2635086	1,2934157	3,0758841
20,141113	-0,82357639	-1,3042222	0,20175786	0,2064577	0,98361152	1,2635086	1,2955221	3,073786
20,238281	-0,79885554	-1,3061175	0,20511489	0,20612201	0,981933	1,284532	1,2934157	3,0685406
20,335449	-0,68089676	-1,3085371	0,20511489	0,20612201	0,98025447	1,284532	1,2934157	3,0632951
20,432617	-0,71831959	-1,3137082	0,20477919	0,20914334	0,981933	1,2824297	1,3123745	3,0685406
20,529785	-0,69384253	-1,3167322	0,20511489	0,20914334	0,98226869	1,284532	1,3123745	3,0695896
20,626953	-0,71440411	-1,3212122	0,20545059	0,20947903	0,97857594	1,2866343	1,3144809	3,0580499
20,724121	-0,8951968	-1,3215891	0,20847192	0,20981474	0,981933	1,3055553	1,3165876	3,0685406
20,821289	-0,75318944	-1,3263766	0,20746481	0,20880763	0,98025447	1,2992483	1,3102679	3,0632951
20,918457	-0,83002508	-1,3282607	0,20847192	0,20947903	0,98092592	1,3055553	1,3144809	3,0653934
21,015625	-0,75063652	-1,3322976	0,20813623	0,21216467	0,98092592	1,3034531	1,3313333	3,0653934
21,112793	-0,85822397	-1,3350711	0,20813623	0,21250038	0,97824025	1,3034531	1,3334399	3,0570009
21,209961	-0,80087066	-1,3398993	0,20813623	0,21216467	0,97958308	1,3034531	1,3313333	3,061197
21,307129	-0,77807707	-1,3431832	0,21048614	0,21216467	0,97656173	1,3181695	1,3313333	3,0517554
21,404297	-0,93089139	-1,3458807	0,21115756	0,21250038	0,97958308	1,3223742	1,3334399	3,061197
21,501465	-0,83175337	-1,3493177	0,21082185	0,21216467	0,97756886	1,3202718	1,3313333	3,0549028
21,598633	-0,8586973	-1,3517845	0,21015045	0,21417889	0,97723317	1,3160671	1,3439726	3,0538538
21,695801	-0,78691375	-1,3549513	0,21048614	0,21485029	0,97756886	1,3181695	1,3481857	3,0549028
21,792969	-0,77246201	-1,3576567	0,21115756	0,21552171	0,97857594	1,3223742	1,3523988	3,0580499
21,890137	-0,79909217	-1,3628457	0,21384318	0,215186	0,97958308	1,3391929	1,3502922	3,061197
21,987305	-0,82983863	-1,3645275	0,21350749	0,215186	0,97387612	1,3370906	1,3502922	3,0433629
22,084473	-0,8651101	-1,3689691	0,21384318	0,2158574	0,97656173	1,3391929	1,3545052	3,0517554
22,181641	-0,78569466	-1,3721637	0,21350749	0,21753593	0,9748832	1,3370906	1,3650379	3,04651
22,278809	-0,8336609	-1,3754802	0,21417889	0,21820733	0,97521895	1,3412952	1,369251	3,0475593
22,375977	-0,84933174	-1,3768382	0,21384318	0,21787164	0,97555465	1,3391929	1,3671446	3,0486083
22,473145	-0,81986177	-1,381355	0,21720022	0,21820733	0,97555465	1,3602164	1,369251	3,0486083
22,570313	-0,81257582	-1,3848939	0,21686451	0,21820733	0,97689742	1,358114	1,369251	3,0528045
22,66748	-0,86503124	-1,3873267	0,21652882	0,22055726	0,97119051	1,3560116	1,3839968	3,0349703
22,764648	-0,93649924	-1,3925065	0,21619311	0,22055726	0,97387612	1,3539093	1,3839968	3,0433629
22,861816	-0,88212913	-1,393589	0,21652882	0,22055726	0,9718619	1,3560116	1,3839968	3,0370684
22,958984	-0,84239542	-1,3983394	0,21955015	0,22055726	0,97219759	1,3749328	1,3839968	3,0381174
23,056152	-0,94050974	-1,4012017	0,21955015	0,22089297	0,97320473	1,3749328	1,3861034	3,0412648
23,15332	-0,82240033	-1,4028383	0,21988586	0,2239143	0,97253329	1,3770351	1,4050622	3,0391665
23,250488	-0,85387111	-1,4064735	0,21955015	0,22425	0,97387612	1,3749328	1,4071687	3,0433629
23,347656	-0,8968749	-1,4107163	0,21988586	0,2245857	0,97219759	1,3770351	1,4092753	3,0381174
23,444824	-0,98136038	-1,4141625	0,21955015	0,2239143	0,9718619	1,3749328	1,4050622	3,0370684
23,541992	-0,91479027	-1,417995	0,22290719	0,22425	0,96951199	1,3959562	1,4071687	3,0297251
23,63916	-0,89441514	-1,419789	0,22290719	0,22357859	0,96917623	1,3959562	1,4029557	3,0286758
23,736328	-0,85608697	-1,42369	0,22257148	0,22626422	0,96984768	1,3938538	1,419808	3,0307741
23,833496	-0,91878462	-1,4263238	0,22156437	0,22559281	0,96917623	1,3875468	1,4155949	3,0286758
23,930664	-0,95330316	-1,4285433	0,22290719	0,22727133	0,97119051	1,3959562	1,4261277	3,0349703
24,027832	-0,94816858	-1,4335294	0,22559281	0,22693563	0,96682632	1,4127749	1,4240211	3,0213323
24,125	-1,0014631	-1,4358163	0,22559281	0,22693563	0,96884054	1,4127749	1,4240211	3,0276268
24,222168	-0,95666105	-1,4382358	0,22525711	0,22626422	0,96615493	1,4106727	1,419808	3,0192342
24,319336	-1,0426238	-1,4437926	0,22592852	0,22995695	0,96682632	1,4148773	1,4429799	3,0213323
24,416504	-0,96074146	-1,4460419	0,22525711	0,22894984	0,96783346	1,4106727	1,4366603	3,0244796
24,513672	-0,92692572	-1,4510224	0,22559281	0,22962126	0,96414071	1,4127749	1,4408734	3,0129397
24,61084	-0,96149445	-1,4515016	0,22894984	0,22995695	0,96581924	1,4337983	1,4429799	3,0181851
24,708008	-0,95942193	-1,4540656	0,22894984	0,22995695	0,96447641	1,4337983	1,4429799	3,0139887
24,805176	-1,0177667	-1,4605259	0,22827844	0,22962126	0,96581924	1,4295937	1,4408734	3,0181851
24,902344	-0,98964489	-1,4631381	0,22827844	0,23264259	0,96346933	1,4295937	1,4598323	3,0108416
24,999512	-1,0505713	-1,4654316	0,22894984	0,23297828	0,96380502	1,4337983	1,4619387	3,0118906
25,09668	-1,0394039	-1,468195	0,23197117	0,23297828	0,96548355	1,4527194	1,4619387	3,0171361
25,193848	-0,97223866	-1,4708306	0,23129977	0,23230688	0,96145511	1,4485148	1,4577258	3,0045471
25,291016	-0,930246	-1,4740733	0,23163548	0,23264259	0,96212649	1,4506172	1,4598323	3,0066452
25,388184	-0,96061951	-1,479109	0,23163548	0,23264259	0,9617908	1,4506172	1,4598323	3,0055962
25,485352	-1,001592	-1,4818026	0,23197117	0,23599963	0,96279788	1,4527194	1,4808977	3,0087433
25,58252	-0,94890004	-1,4841704	0,23129977	0,23499252	0,96078366	1,4485148	1,474578	3,002449
25,679688	-1,0627569	-1,4890438	0,23398541	0,23499252	0,95977658	1,4653336	1,474578	2,9993019
25,776855	-0,99628544	-1,4914039	0,2343211	0,23532821	0,95944089	1,4674358	1,4766846	2,9982529
25,874023	-1,0954449	-1,4953461	0,23398541	0,23532821	0,95742661	1,4653336	1,4766846	2,9919581
25,971191	-1,057513	-1,4980427	0,2343211	0,23499252	0,95876944	1,4674358	1,474578	2,9961545
26,068359	-0,9809373	-1,4999658	0,2343211	0,23801385	0,95843375	1,4674358	1,4935369	2,9951055
26,165527	-1,1310697	-1,503832	0,23499252	0,23801385	0,95910513	1,4716406	1,4935369	2,9972036
26,262695	-1,1079174	-1,5076691	0,23734243	0,23801385	0,95776236	1,486357	1,4935369	2,9930074
26,359863	-1,144668	-1,5113872	0,23667103	0,23834954	0,95574814	1,4821523	1,4956434	2,9867129
26,457031	-1,1191565	-1,5142903	0,23700674	0,23767814	0,95675522	1,4842546	1,4914304	2,9898601
26,554199	-1,1396984	-1,5166807	0,23734243	0,24170658	0,954741	1,486357	1,5167089	2,9835656
26,651367	-1,0652453	-1,5193979	0,23700674	0,24103518	0,95574814	1,4842546	1,5124958	2,9867129
26,748535	-1,0639473	-1,5243548	0,24036378	0,24170658	0,95608383	1,5052781	1,5167089	2,987762
26,845703	-1,1448473	-1,5267984	0,24069947	0,24204229	0,95608383	1,5073804	1,5188154	2,987762
26,942871	-1,140774	-1,5303444	0,24103518	0,24204229	0,95608383	1,5094827	1,5188154	2,987762
27,040039	-1,1644981	-1,5334673	0,24069947	0,24170658	0,95507669	1,5073804	1,5167089	2,9846146
27,137207	-1,1823131	-1,5363879	0,24103518	0,24506362	0,95440531	1,5094827	1,5377742	2,9825165
27,234375	-1,1702063	-1,5391695	0,24103518	0,24506362	0,95205539	1,5094827	1,5377742	2,975173
27,331543	-1,0191364	-1,5441409	0,24405651	0,24506362	0,95339817	1,5284039	1,5377742	2,9793692
27,428711	-1,1521763	-1,5468959	0,24338511	0,24405651	0,95272678	1,5241991	1,5314546	2,9772711
27,525879	-1,1720583	-1,5502456	0,2437208	0,24439222	0,95272678	1,5263015	1,5335612	2,9772711
27,623047	-1,1372297	-1,5520416	0,2430494	0,24674214	0,95272678	1,5220968	1,5483069	2,9772711
27,720215	-1,2559558	-1,5575985	0,2437208	0,24774925	0,95138395	1,5263015	1,5546266	2,9730749
27,817383	-1,1304529	-1,5600816	0,24271369	0,24674214	0,95373392	1,5199944	1,5483069	2,9804184
27,914551	-1,2613987	-1,5627542	0,24607073	0,24674214	0,94769126	1,5410179	1,5483069	2,9615352
28,011719	-1,1954955	-1,5661157	0,24607073	0,24707784	0,95037687	1,5410179	1,5504135	2,9699278
28,108887	-1,1809649	-1,5690022	0,24607073	0,24741355	0,94970548	1,5410179	1,55252	2,9678297
28,206055	-1,1843855	-1,5722222	0,24573503	0,24707784	0,94903404	1,5389156	1,5504135	2,9657314
28,303223	-1,2639247	-1,5743703	0,24640644	0,25009918	0,94970548	1,5431203	1,5693724	2,9678297
28,400391	-1,2144651	-1,5789071	0,24909206	0,25043488	0,94836265	1,5599389	1,5714788	2,9636333
28,497559	-1,211697	-1,5812769	0,24942777	0,25009918	0,95037687	1,5620413	1,5693724	2,9699278
